"Air Quality Statistics by City, 2023",,,,,,,,,,,
"Note: The values shown are the highest among the sites in each area. Data from exceptional events are included.  This summary is not adequate in itself to numerically rank CBSAs according to their air quality.  The monitoring data represent the quality of air in the vicinity of the monitoring site and, for some pollutants, may not necessarily represent urban-wide air quality.  PM2.5 summary statistics are based on AQS data as of August 12, 2024.  All other pollutant summary statistics as of May 7, 2024.",,,,,,,,,,,
Core Based Statistical Area (CBSA),2010 Population,CBSA Code,CO           8-hr (ppm),Pb          3-mo (µg/m3),NO2      AM (ppb),NO2          1-hr (ppb),O3            8-hr (ppm),PM10         24-hr (µg/m3) ,PM2.5         Wtd AM (µg/m3) ,PM2.5         24-hr (µg/m3) ,SO2         1-hr (ppb)
"Aberdeen, SD",40602,10100,ND,ND,ND,ND,ND,89,7,36,ND
"Aberdeen, WA",72797,10140,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Ada, OK",37492,10220,ND,ND,ND,ND,0.037,81,ND,ND,ND
"Adjuntas, PR",19483,10260,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Adrian, MI",99892,10300,ND,ND,ND,ND,0.071,ND,IN,IN,ND
"Aguadilla-Isabela, PR",339441,10380,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Akron, OH",703200,10420,ND,ND,ND,ND,0.071,128,9.4,49,8
"Albany, GA",157308,10500,ND,ND,ND,ND,ND,ND,9.4,29,ND
"Albany, OR",116672,10540,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Albany-Schenectady-Troy, NY",870716,10580,ND,ND,ND,ND,0.068,ND,8.1,30,ND
"Albert Lea, MN",31255,10660,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Albuquerque, NM",887077,10740,2,ND,8,43,0.069,182,7.5,23,IN
"Alexandria, LA",153922,10780,ND,ND,ND,ND,ND,ND,8.8,19,ND
"Alexandria, MN",36009,10820,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Allentown-Bethlehem-Easton, PA-NJ",821173,10900,ND,0.18,11,41,0.07,91,9.7,30,7
"Alpena, MI",29598,10980,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Altoona, PA",127089,11020,ND,ND,ND,ND,0.068,ND,9,30,5
"Amarillo, TX",251933,11100,ND,ND,ND,ND,0.068,ND,5.7,15,148
"Americus, GA",37829,11140,ND,ND,ND,ND,0.064,ND,ND,ND,ND
"Ames, IA",89542,11180,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Anchorage, AK",380821,11260,2,ND,ND,ND,ND,130,4.2,18,ND
"Ann Arbor, MI",344791,11460,ND,ND,ND,ND,0.073,ND,10.6,33,ND
"Appleton, WI",225666,11540,ND,ND,ND,ND,0.072,ND,10,47,26
"Ardmore, OK",47557,11620,ND,ND,ND,ND,0.077,ND,IN,IN,ND
"Arecibo, PR",199471,11640,ND,0.01,ND,ND,ND,ND,ND,ND,ND
"Arkadelphia, AR",22995,11660,ND,ND,ND,ND,0.065,ND,ND,ND,ND
"Asheville, NC",424858,11700,ND,ND,ND,ND,0.069,27,6.4,22,20
"Ashtabula, OH",101497,11780,ND,ND,ND,ND,0.069,ND,ND,ND,ND
"Athens, OH",64757,11900,ND,ND,ND,ND,ND,ND,6.8,19,ND
"Athens, TN",52266,11940,ND,ND,ND,ND,ND,ND,8.3,22,ND
"Athens-Clarke County, GA",192541,12020,ND,ND,ND,ND,0.068,ND,9.3,26,ND
"Atlanta-Sandy Springs-Roswell, GA",5286728,12060,2,ND,15,48,0.077,60,10.6,28,5
"Atlantic City-Hammonton, NJ",274549,12100,ND,ND,ND,ND,0.058,ND,7.9,25,0
"Augusta-Richmond County, GA-SC",564873,12260,ND,ND,ND,ND,0.063,47,9.9,23,44
"Augusta-Waterville, ME",122151,12300,ND,ND,ND,ND,0.055,35,6.2,24,ND
"Austin-Round Rock, TX",1716289,12420,2,ND,13,IN,0.074,53,10.4,25,IN
"Bakersfield, CA",839631,12540,1,ND,19,48,0.089,130,13.6,38,ND
"Baltimore-Columbia-Towson, MD",2710489,12580,1,ND,15,45,0.075,42,10.1,32,4
"Bangor, ME",153923,12620,ND,ND,ND,ND,0.058,34,5.3,16,ND
"Baraboo, WI",61976,12660,ND,ND,ND,ND,0.076,153,9.2,38,ND
"Barnstable Town, MA",215888,12700,ND,ND,ND,ND,0.066,ND,ND,ND,ND
"Barre, VT",59534,12740,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Bartlesville, OK",50976,12780,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Baton Rouge, LA",802484,12940,1,0.01,7,38,0.077,57,9.4,19,24
"Bay City, MI",107771,13020,ND,ND,ND,ND,ND,ND,9.5,30,ND
"Beatrice, NE",22311,13100,ND,ND,ND,ND,ND,ND,7.2,23,ND
"Beaumont-Port Arthur, TX",403190,13140,ND,ND,6,31,0.07,ND,10.1,24,70
"Beaver Dam, WI",88759,13180,1,ND,ND,ND,0.078,193,9.4,43,2
"Beckley, WV",124898,13220,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Bellingham, WA",201140,13380,ND,ND,ND,ND,0.055,ND,5,12,4
"Bemidji, MN",44442,13420,ND,ND,ND,ND,ND,ND,7.7,31,ND
"Bend-Redmond, OR",157733,13460,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Bennington, VT",37125,13540,ND,ND,ND,ND,0.065,ND,6.3,32,ND
"Berlin, NH-VT",39361,13620,ND,ND,ND,ND,0.068,ND,IN,IN,ND
"Big Spring, TX",36238,13700,ND,ND,ND,ND,ND,ND,ND,ND,161
"Billings, MT",158934,13740,ND,ND,ND,ND,ND,ND,6.7,29,19
"Binghamton, NY",251725,13780,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Birmingham-Hoover, AL",1128047,13820,1,ND,9,40,0.075,90,10.1,24,55
"Bishop, CA",3879,13860,0,ND,ND,ND,0.071,700,8.5,27,1
"Bismarck, ND",114778,13900,1,ND,5,36,0.073,124,10.8,56,10
"Blacksburg-Christiansburg-Radford, VA",178237,13980,ND,0,ND,ND,0.067,ND,ND,ND,39
"Bloomington, IL",186133,14010,ND,ND,ND,ND,0.077,ND,10.2,27,ND
"Bloomington, IN",159549,14020,ND,ND,ND,ND,0.077,ND,8.7,28,ND
"Bluefield, WV-VA",107342,14140,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Blytheville, AR",46480,14180,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Boise City, ID",616561,14260,1,ND,8,38,0.066,84,IN,IN,3
"Boone, NC",51079,14380,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Borger, TX",22150,14420,ND,ND,ND,ND,ND,ND,ND,ND,102
"Boston-Cambridge-Newton, MA-NH",4552402,14460,1,ND,11,45,0.071,47,7.8,22,5
"Boulder, CO",294567,14500,ND,ND,ND,ND,0.071,39,6.8,19,ND
"Bowling Green, KY",158599,14540,1,ND,ND,ND,0.071,ND,8,26,IN
"Bozeman, MT",89513,14580,1,ND,2,IN,ND,ND,3,9,ND
"Brainerd, MN",91067,14660,ND,ND,ND,ND,0.071,ND,7.9,29,ND
"Bremerton-Silverdale, WA",251133,14740,ND,ND,ND,ND,ND,ND,4.9,19,ND
"Bridgeport-Stamford-Norwalk, CT",916829,14860,ND,ND,9,47,0.082,106,8.7,27,4
"Brookings, SD",31965,15100,ND,ND,ND,ND,0.07,91,6.4,27,ND
"Brownsville-Harlingen, TX",406220,15180,ND,ND,ND,ND,0.06,ND,11.6,33,ND
"Brunswick, GA",112370,15260,ND,ND,ND,ND,0.058,ND,8.2,20,ND
"Buffalo-Cheektowaga-Niagara Falls, NY",1135509,15380,1,ND,10,43,0.067,44,9,37,3
"Burlington, NC",151131,15500,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Burlington-South Burlington, VT",211261,15540,1,ND,ND,ND,0.064,22,7.3,24,1
"Butte-Silver Bow, MT",34200,15580,ND,ND,ND,ND,ND,72,7.3,25,ND
"Cadillac, MI",47584,15620,ND,ND,1,6,0.071,ND,10.4,27,ND
"Cambridge, MD",32618,15700,ND,ND,ND,ND,0.071,ND,7.5,24,1
"Cambridge, OH",40087,15740,ND,ND,ND,ND,ND,ND,ND,ND,49
"Cañon City, CO",46824,15860,ND,ND,ND,ND,ND,43,ND,ND,ND
"Canton-Massillon, OH",404422,15940,ND,0.15,ND,ND,0.07,72,10.7,31,ND
"Cape Coral-Fort Myers, FL",618754,15980,ND,ND,ND,ND,0.064,ND,IN,IN,ND
"Carlsbad-Artesia, NM",53829,16100,ND,ND,5,31,0.076,ND,ND,ND,ND
"Carson City, NV",55274,16180,ND,ND,ND,ND,0.066,ND,4.8,14,ND
"Casper, WY",75450,16220,ND,ND,4,34,0.058,ND,3.1,13,7
"Cedar City, UT",46163,16260,ND,ND,6,61,0.061,ND,5,10,ND
"Cedar Rapids, IA",257940,16300,ND,ND,ND,ND,0.08,68,9.9,25,10
"Centralia, WA",75455,16500,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Chambersburg-Waynesboro, PA",149618,16540,ND,ND,ND,ND,0.067,ND,ND,ND,ND
"Champaign-Urbana, IL",231891,16580,1,ND,ND,ND,0.077,ND,8.7,22,3
"Charleston, WV",227078,16620,1,ND,ND,ND,0.06,ND,8.8,25,5
"Charleston-North Charleston, SC",664607,16700,ND,ND,7,IN,0.062,70,8.1,20,6
"Charlotte-Concord-Gastonia, NC-SC",2217012,16740,2,ND,11,37,0.073,51,10,26,2
"Charlottesville, VA",218705,16820,ND,ND,ND,ND,0.065,ND,8.2,34,ND
"Chattanooga, TN-GA",528143,16860,ND,ND,ND,ND,0.066,ND,11,30,ND
"Cheyenne, WY",91738,16940,0,ND,3,29,0.059,92,5.6,22,1
"Chicago-Naperville-Elgin, IL-IN-WI",9461105,16980,1,0.1,17,54,0.086,137,11.2,31,79
"Chico, CA",220000,17020,1,ND,5,IN,0.066,77,7.8,23,ND
"Cincinnati, OH-KY-IN",2114580,17140,1,ND,18,49,0.077,111,12.2,44,21
"Claremont-Lebanon, NH-VT",218466,17200,ND,ND,ND,ND,0.062,ND,5.5,17,ND
"Clarksburg, WV",94196,17220,ND,ND,ND,ND,ND,ND,8.4,23,ND
"Clarksville, TN-KY",260625,17300,ND,ND,ND,ND,0.07,ND,8.6,22,ND
"Clearlake, CA",64665,17340,ND,ND,ND,ND,0.048,26,4.1,14,ND
"Cleveland, MS",34145,17380,ND,ND,ND,ND,0.069,ND,9.9,26,ND
"Cleveland-Elyria, OH",2077240,17460,5,0.04,9,44,0.075,147,12.8,40,27
"Clinton, IA",49116,17540,ND,ND,ND,ND,0.078,ND,10.3,26,17
"Coco, PR",31078,17640,ND,ND,ND,ND,ND,ND,ND,ND,IN
"Coeur d'Alene, ID",138494,17660,ND,ND,ND,ND,ND,ND,IN,IN,ND
"College Station-Bryan, TX",228660,17780,ND,ND,ND,ND,ND,ND,8,20,29
"Colorado Springs, CO",645613,17820,1,ND,ND,ND,0.069,32,5.4,13,5
"Columbia, MO",162642,17860,ND,ND,ND,ND,0.072,ND,IN,IN,ND
"Columbia, SC",767598,17900,1,ND,3,28,0.069,44,8.2,22,2
"Columbus, GA-AL",294865,17980,ND,ND,ND,ND,0.064,ND,10.5,25,ND
"Columbus, IN",76794,18020,ND,ND,ND,ND,0.076,ND,8.4,24,ND
"Columbus, MS",59779,18060,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Columbus, OH",1901974,18140,1,0,9,43,0.069,97,10.9,36,4
"Concord, NH",146445,18180,ND,ND,ND,ND,0.062,ND,IN,IN,13
"Cookeville, TN",106042,18260,ND,ND,ND,ND,ND,ND,7.7,21,ND
"Corning, NY",98990,18500,1,ND,ND,ND,0.068,ND,7.6,34,1
"Corpus Christi, TX",428185,18580,ND,ND,ND,ND,0.065,38,8.9,24,4
"Corsicana, TX",47735,18620,ND,ND,3,IN,0.064,ND,IN,IN,185
"Corvallis, OR",85579,18700,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Crawfordsville, IN",38124,18820,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Crescent City, CA",28610,18860,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Crestview-Fort Walton Beach-Destin, FL",235865,18880,ND,ND,ND,ND,0.06,57,ND,ND,ND
"Cullowhee, NC",40271,19000,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Dallas-Fort Worth-Arlington, TX",6426214,19100,2,0.07,14,46,0.084,70,10.7,23,17
"Dalton, GA",142227,19140,ND,ND,ND,ND,0.07,ND,ND,ND,ND
"Daphne-Fairhope-Foley, AL",182265,19300,ND,ND,ND,ND,0.065,ND,7.6,18,ND
"Davenport-Moline-Rock Island, IA-IL",379690,19340,1,ND,ND,ND,0.08,109,10.4,28,4
"Dayton, OH",799232,19380,1,ND,ND,ND,0.073,136,10.1,34,5
"Decatur, AL",153829,19460,ND,ND,ND,ND,0.069,ND,7.3,17,ND
"Decatur, IL",110768,19500,ND,ND,ND,ND,0.079,ND,9.7,25,66
"Deltona-Daytona Beach-Ormond Beach, FL",590289,19660,ND,ND,ND,ND,0.059,54,7.5,18,ND
"Deming, NM",25095,19700,ND,ND,ND,ND,ND,236,ND,ND,ND
"Denver-Aurora-Lakewood, CO",2543482,19740,2,ND,24,65,0.077,89,8.7,24,6
"Des Moines-West Des Moines, IA",569633,19780,ND,ND,IN,IN,0.077,56,10.2,31,ND
"Detroit-Warren-Dearborn, MI",4296250,19820,2,0.03,14,50,0.079,161,14.7,46,55
"Dickinson, ND",24199,19860,ND,ND,ND,ND,0.07,ND,7.4,35,6
"Dodge City, KS",33848,19980,ND,ND,ND,ND,ND,127,ND,ND,ND
"Dothan, AL",145639,20020,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Douglas, GA",42356,20060,ND,ND,ND,ND,ND,ND,7.9,21,ND
"Dover, DE",162310,20100,ND,ND,ND,ND,0.069,ND,8,39,ND
"Duluth, MN-WI",279771,20260,ND,0,4,34,0.068,92,7.6,27,13
"Durango, CO",51334,20420,1,ND,4,IN,0.067,ND,IN,IN,ND
"Durham-Chapel Hill, NC",504357,20500,ND,ND,ND,ND,0.066,42,8,24,3
"Dyersburg, TN",38335,20540,ND,ND,ND,ND,ND,ND,7.5,19,ND
"Eagle Pass, TX",54258,20580,ND,ND,ND,ND,ND,ND,7.9,25,ND
"East Stroudsburg, PA",169842,20700,ND,ND,ND,ND,0.066,ND,IN,IN,ND
"Eau Claire, WI",161151,20740,ND,ND,ND,ND,0.074,96,9.4,39,ND
"Effingham, IL",34242,20820,ND,ND,ND,ND,0.078,ND,ND,ND,ND
"El Centro, CA",174528,20940,2,ND,9,55,0.081,523,9.5,30,5
"El Dorado, AR",41639,20980,ND,ND,ND,ND,ND,ND,9.8,20,ND
"Elizabeth City, NC",64094,21020,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Elizabethtown-Fort Knox, KY",148338,21060,ND,ND,ND,ND,0.07,ND,8.6,29,ND
"Elkhart-Goshen, IN",197559,21140,ND,ND,ND,ND,0.071,ND,9.4,30,ND
"Elko, NV",50805,21220,ND,ND,ND,ND,0.052,48,ND,ND,ND
"Ellensburg, WA",40915,21260,ND,ND,ND,ND,ND,ND,6.5,18,ND
"El Paso, TX",804123,21340,2,ND,15,57,0.074,180,8.6,23,6
"Enid, OK",60580,21420,ND,ND,ND,ND,ND,ND,IN,IN,37
"Erie, PA",280566,21500,1,ND,5,32,0.068,72,8.5,33,ND
"Española, NM",40246,21580,ND,ND,ND,ND,0.06,ND,ND,ND,ND
"Eugene, OR",351715,21660,ND,ND,ND,ND,0.06,118,10.1,46,ND
"Eureka-Arcata-Fortuna, CA",134623,21700,IN,ND,2,14,0.047,44,7,148,1
"Evanston, WY",21118,21740,ND,ND,ND,ND,ND,35,ND,ND,ND
"Evansville, IN-KY",311552,21780,1,ND,3,25,0.075,53,10.1,26,94
"Fairbanks, AK",97581,21820,2,ND,ND,ND,0.05,138,11.7,63,15
"Fairmont, WV",56418,21900,ND,ND,ND,ND,ND,ND,8.3,25,ND
"Fallon, NV",24877,21980,ND,ND,ND,ND,0.064,ND,ND,ND,ND
"Fargo, ND-MN",208777,22020,ND,ND,4,IN,0.07,ND,11.5,39,3
"Farmington, NM",130044,22140,ND,ND,9,36,0.069,98,IN,IN,2
"Fayetteville, NC",366383,22180,ND,ND,ND,ND,0.067,41,9.1,25,ND
"Fayetteville-Springdale-Rogers, AR-MO",463204,22220,ND,ND,ND,ND,0.072,31,IN,IN,ND
"Fergus Falls, MN",57303,22260,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Fernley, NV",51980,22280,ND,ND,ND,ND,0.063,ND,ND,ND,ND
"Findlay, OH",74782,22300,ND,ND,ND,ND,ND,ND,ND,ND,18
"Flagstaff, AZ",134421,22380,ND,ND,ND,ND,0.068,ND,IN,IN,ND
"Flint, MI",425790,22420,ND,ND,ND,ND,0.072,ND,8.7,29,ND
"Florence, SC",205566,22500,ND,IN,ND,ND,0.066,ND,9.1,26,ND
"Florence-Muscle Shoals, AL",147137,22520,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Fond du Lac, WI",101633,22540,ND,ND,ND,ND,0.071,ND,ND,ND,ND
"Fort Collins, CO",299630,22660,1,ND,ND,ND,0.071,ND,IN,IN,ND
"Fort Madison-Keokuk, IA-IL-MO",62105,22800,ND,ND,ND,ND,ND,ND,IN,IN,ND
"Fort Payne, AL",14101,22840,ND,ND,ND,ND,0.066,ND,8.9,21,ND
"Fort Smith, AR-OK",280467,22900,ND,ND,IN,IN,0.065,ND,8.4,20,ND
